"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNORPSHJNMMCDEIKAH00797294";2024;1;1;1;43;"S";34;796;1;"";2;2;"";4;2;2;2;"";1;1;2;3;2;2;2;2;1;2;0;2;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;2;331000;"4";"4";"4";"3";"";"4";165500;"5";"5";"4";"5";"";"5";1552;1;0;2;0;0;0
"TQRMNOTRTHKMKMCDEIOAH00858366";2024;1;1;1;43;"N";38;131;2;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;0;97;0;0;0
"TQRMNOSQXHMOKMCDEOJAH00803267";2024;1;1;1;44;"N";93;102;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;320000;"3";"4";"2";"";"4";"3";160000;"4";"5";"3";"";"5";"3";110;2;0;1;0;0;0
"TQRMNOPUUHMMKMCDEOJAH00803268";2024;1;1;1;44;"N";93;52;1;"";6;1;"";2;1;1;1;"";1;1;1;1;2;2;2;6;4;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;0;6;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;2;98;0;0;0
"TQRMNOPTYHJMKNCDEOJAH00797798";2024;1;1;1;44;"N";93;67;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;5;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;400000;"4";"5";"3";"";"5";"4";200000;"6";"6";"4";"";"6";"5";78;1;0;2;0;0;0
"TQRMNOTWQHMOKSCDEHPJB00806493";2024;1;1;1;40;"S";29;359;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;3;0;3;850000;"8";"9";"9";"8";"";"9";283333,33;"7";"8";"9";"7";"";"9";442;1;2;98;0;0;0
"TQRMNOPWYHJMRMCDEIJAH00798173";2024;1;1;1;1;"S";33;1858;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;155000;"1";"";"1";"1";"";"1";155000;"4";"";"4";"4";"";"5";2145;1;0;98;0;0;0
"TQRMNORRYHLMKNCDEFKID00851902";2024;1;1;1;43;"S";4;681;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;97;0;2;1;0;0
"TQRMNOUTUHJLKRCDEFKID00794692";2024;1;1;1;43;"S";4;1030;2;"";1;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;1;0;1;350000;"4";"4";"4";"4";"";"4";350000;"8";"8";"8";"8";"";"8";998;1;0;98;0;0;0
"TQRMNORUVHMOLUCDEHPJB00801353";2024;1;2;1;40;"S";29;538;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;4;2;2;520000;"6";"6";"7";"6";"";"7";130000;"3";"4";"5";"3";"";"5";590;2;0;1;0;0;0
"TQRMNOTPUHMOLUCDEHPJB00801325";2024;1;1;1;40;"S";29;520;1;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;2;2;370000;"4";"4";"4";"4";"";"4";92500;"2";"2";"3";"2";"";"3";529;2;0;98;0;0;0
"TQRMNOPTQHKMLMCDEHPJB00858367";2024;1;1;1;40;"S";29;345;1;"";6;1;"";4;1;1;1;"";1;1;1;1;1;1;2;6;4;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2;2;4;0;4;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;1;2;3;4;0;0
"TQRMNORRPHKMLMCDEHPJB00858368";2024;1;1;1;40;"S";29;580;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;4;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;4;1;3;331000;"4";"4";"4";"3";"";"4";82750;"2";"2";"3";"2";"";"2";673;1;0;98;0;0;0
