CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
"TQRMNOPQWHKMKMCDEGKDB00653984";2020;1;1;1;43;;14;100;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;1;0;1;35000;"04";"04";"04";;;"05";35000;"08";"09";"08";;;"09";119;1;0;98;0;0;0
"TQRMNOPWRHKMKRCDEGKDB00653985";2020;1;1;1;43;;14;99;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;4;1;3;44500;"05";"05";"05";;;"06";11125;"03";"03";"03";;;"04";145;2;0;1;0;0;0
"TQRMNOPTRHKMKSCDEGKDB00653986";2020;1;1;1;43;;14;105;1;;3;1;;4;2;1;1;;1;1;1;1;2;2;2;3;3;2;0;2;2;2;0;0;0;0;2;;2;;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;24050;"02";"02";"02";;;"03";6012,5;"02";"02";"01";;;"02";119;2;0;3;0;0;0
"TQRMNOPTTHKMKTCDEGKDB00653987";2020;1;1;1;43;;14;124;1;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;0;4;131000;"10";"10";"10";;;"10";32750;"08";"09";"08";;;"09";198;2;0;98;0;0;0
"TQRMNOPWYHKMLNCDEGKDB00653988";2020;1;1;1;43;;14;109;1;;3;1;;4;2;1;1;;1;1;1;1;2;2;2;3;2;2;0;2;2;2;0;0;0;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;1;2;0;"12";"12";"12";;;"12";0;"12";"12";"12";;;"12";0;1;2;98;0;0;0
"TQRMNOPUSHLLKPCDEGKDB00648496";2020;1;1;1;43;;14;83;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;69000;"07";"08";"08";;;"08";13800;"04";"04";"04";;;"05";116;1;0;3;0;0;0
"TQRMNORQWHLLKRCDEGKDB00648423";2020;1;1;1;43;;14;82;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2;2;1;0;1;50000;"06";"06";"06";;;"07";50000;"09";"10";"10";;;"10";83;1;0;98;0;0;0
"TQRMNOPXYHMLKSCDEGKDB00630599";2020;1;1;1;43;;14;85;1;;11;1;;4;1;1;1;;1;1;1;1;2;2;2;11;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;0;"12";"12";"12";;;"12";0;"12";"12";"12";;;"12";0;97;0;96;0;0;0
"TQRMNORUQHMLKSCDEGKDB00630608";2020;1;1;1;43;;14;85;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;"12";"12";"12";;;"12";0;"12";"12";"12";;;"12";0;1;2;98;0;0;0
"TQRMNORSSHKOKMCDEGKDB00653989";2020;1;1;1;43;;14;104;1;;2;2;;4;2;1;1;;1;1;2;1;2;2;2;2;2;2;0;2;2;2;0;0;0;0;1;;3;;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;13;3;10;32100;"04";"04";"04";;;"05";2469,23;"01";"01";"01";;;"01";157;2;12;98;0;0;0
