CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V2_02;V2_03;V21_01;V22_01;V3;V4;V5_02;V5_03;V6;V7;V8;V9;V10;V11_01;V11_02;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;V5_01;V21_02;V21_03;V22_02;V22_03;V2_01
TQRMNOPPRHMMTPCDEIJAH00894741;2025;4;1;1;1;S;33;2696;1;;2;1;;4;1;1;1;;1;1;1;1;1;2;2;2;2;2;0;1;2;1;2;0;2;0;3;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;4;1;3;0;12;;12;12;;12;0;12;;12;12;;12;0;1;2;3;0;0;0;2;2;2;2;2;0
TQRMNOPSUHMOKNCDEIJAH00890964;2025;4;1;1;1;S;33;2428;1;;2;1;;2;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;1;2;98;0;0;0;2;2;2;2;2;1
TQRMNOPQRHMOKQCDEIJAH00891415;2025;4;1;1;1;S;33;2092;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;2;0;2;1000000;4;;3;4;;4;500000;5;;5;5;;5;3746;1;2;98;0;0;0;2;2;2;2;2;0
TQRMNOPQSHMOKQCDEIJAH00895692;2025;4;1;1;1;S;33;2092;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;0;12;;12;12;;12;0;12;;12;12;;12;0;1;2;98;0;0;0;2;2;2;2;2;0
TQRMNORSTHMOKQCDEIJAH00888435;2025;4;1;1;1;S;33;2685;2;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;0;2;2600000;8;;8;8;;8;1300000;9;;9;9;;10;5579;1;2;98;0;0;0;2;2;2;2;2;0
TQRMNOTQYHMOKQCDEIJAH00895688;2025;4;1;1;1;S;33;2372;2;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;3;2;0;1;1;1;2;0;2;0;6;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;1;2;3;4;0;0;2;2;2;2;2;0
TQRMNOTRWHMOKQCDEIJAH00890614;2025;4;1;1;1;S;33;2188;2;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;1;0;0;0;2;2;2;2;2;0
TQRMNOPYWHMOKUCDEIJAH00889396;2025;4;1;1;1;S;33;3779;1;;2;2;;4;2;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;2;0;2;796266;2;;2;2;;2;398133;4;;3;4;;4;10401;1;2;97;0;0;0;2;2;2;1;2;1
TQRMNOPYYHMOKUCDEIJAH00892166;2025;4;1;1;1;S;33;4576;1;;2;2;;4;2;1;1;;1;1;2;3;2;2;2;2;2;2;0;1;2;2;2;0;2;0;8;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;5;0;5;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;97;0;0;0;2;2;2;2;2;2
TQRMNOSRRHKNNTCDEIIAD00871181;2025;4;1;1;1;S;32;3556;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2000000;7;;7;7;;5;2000000;10;;10;10;;9;4271;1;0;98;0;0;0;2;2;2;2;2;0
