CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
"TQRMNOPURHLMSMCDEIJAH00639303";2020;2;1;1;1;;33;6937;1;;3;1;;2;1;1;2;;1;1;1;2;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;5;4;1;9300;"01";"  ";"01";;;"01";1860;"01";"  ";"01";;;"01";9880;1;0;98;0;0;0
"TQRMNOPUSHLMSMCDEIJAH00639377";2020;2;1;1;1;;33;6197;1;;3;1;;4;1;1;2;;1;1;1;2;2;1;2;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;1;2;98;0;0;0
"TQSMNOPUSHLMSMCDEIJAH00639262";2020;2;1;1;1;;33;8450;1;;1;2;;1;1;1;2;;1;2;1;2;2;1;2;1;1;2;0;1;2;2;2;0;2;0;4;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;4;1;3;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;1;2;3;0;0;0
"TQSMNOPWSHLMTMCDEIJAH00645695";2020;2;1;1;1;;33;4969;1;;3;1;;2;1;1;1;;1;1;1;1;2;1;2;3;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;100000;"10";"  ";"10";;;"10";33333,33;"09";"  ";"09";;;"09";7042;2;0;1;0;0;0
"TQRMNOQXYHLMTMCDEIJAH00645773";2020;2;1;1;1;;33;4969;1;;3;1;;2;1;1;1;;1;1;1;1;2;1;2;3;1;1;1;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;0;2;29000;"04";"  ";"04";;;"04";14500;"05";"  ";"05";;;"06";6111;1;0;98;0;0;0
"TQRMNOQYVHLMTMCDEIJAH00639588";2020;2;1;1;1;;33;4715;1;;2;1;;1;1;1;1;;1;1;1;1;2;1;2;2;1;2;0;1;1;1;2;0;2;0;8;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;1;0;1;35000;"05";"  ";"05";;;"05";35000;"09";"  ";"09";;;"10";5465;1;0;98;0;0;0
"TQRMNORPYHKNRPCDEIJAH00656351";2020;2;1;1;1;;33;4018;1;;2;1;;4;1;1;1;;1;1;1;1;2;1;2;2;1;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;3;0;3;33000;"04";"  ";"04";;;"05";11000;"04";"  ";"04";;;"05";7182;1;0;2;0;0;0
"TQRMNOPYUHKLRQCDEIJAH00656111";2020;2;1;1;1;;33;1131;1;;6;1;;3;1;1;1;;1;1;1;1;1;1;2;6;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;2;0;98;0;0;0
"TQRMNOQRRHKLRQCDEIJAH00655990";2020;2;1;1;1;;33;1278;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;38000;"05";"  ";"05";;;"06";9500;"03";"  ";"03";;;"04";1515;2;0;98;0;0;0
"TQRMNORUTHKLRQCDEIJAH00655967";2020;2;1;1;1;;33;1131;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;50000;"07";"  ";"06";;;"07";25000;"08";"  ";"08";;;"09";1706;2;0;98;0;0;0
"TQRMNOPQQHMKSRCDEIJAH00633484";2020;2;1;1;1;;33;1880;2;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;1;0;98;0;0;0
"TQRMNORPSHMKSRCDEIJAH00633409";2020;2;1;1;1;;33;2001;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;55000;"07";"  ";"07";;;"08";27500;"08";"  ";"08";;;"09";2964;1;2;98;0;0;0
"TQRMNORPUHMKSRCDEIJAH00633470";2020;2;1;1;1;;33;1664;1;;8;1;;1;1;1;1;;1;1;1;1;1;1;1;8;2;2;0;1;1;1;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;"12";"  ";"12";;;"12";0;"12";"  ";"12";;;"12";0;1;0;98;0;0;0
"TQRMNOSYPHKKRRCDEIJAH00659203";2020;2;1;1;1;;33;2295;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;70224;"08";"  ";"08";;;"09";35112;"09";"  ";"09";;;"10";3512;2;0;1;0;0;0
