CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
134256;2005;1;2;34;32;1;2;4;1;3;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134414;2005;1;1;42;32;1;1;7;2;1;2;0;3;1;1;1;1;0;1;0;1;1;2200;0;600;0;0;0;600;1600;1600
134414;2005;1;2;40;32;1;2;6;1;1;2;0;3;1;1;1;1;0;1;0;1;1;1000;0;0;0;0;0;0;1000;1000
134414;2005;1;2;12;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134414;2005;1;1;9;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134746;2005;1;1;40;32;1;2;7;1;1;2;0;3;2;2;2;2;5;2;1;1;3;2800;0;0;0;300;0;0;2500;2500
134746;2005;1;2;35;32;1;2;6;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134746;2005;1;2;4;32;2;1;1;2;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134746;2005;1;2;-1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134774;2005;1;1;40;32;1;2;7;1;3;1;0;3;1;1;1;1;0;1;0;1;1;2230;0;0;0;0;0;0;1800;1800
134774;2005;1;2;36;32;1;2;6;1;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
134774;2005;1;2;1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135031;2005;1;1;68;32;1;2;2;1;3;1;0;2;0;0;0;0;0;0;0;0;0;1000;0;200;0;0;0;0;0;800
135031;2005;1;2;76;32;1;2;2;1;3;1;1;0;0;0;0;0;0;0;0;0;0;1050;0;1050;0;0;0;700;0;0
135688;2005;1;1;74;32;1;2;7;1;1;2;0;2;0;0;0;0;0;0;0;0;0;3900;0;3000;0;0;0;2000;0;900
135688;2005;1;2;74;32;1;2;7;1;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135956;2005;1;1;43;32;1;2;4;2;1;2;0;3;1;1;1;1;0;1;0;2;1;1300;0;0;0;0;0;0;1300;1300
135956;2005;1;2;34;32;1;2;4;1;1;2;0;3;1;1;1;1;0;1;0;2;1;1190;0;0;0;0;0;0;1190;1190
135956;2005;1;2;14;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
